ingredient_name
absinthe
agave syrup
agave nectar
aged rum
anejo tequila
angostura bitters
aperol
apple brandy
apple cider
applejack
apricot brandy
blackberry
blanco tequila
blueberry vodka
bourbon whiskey
brandy
calvados
campari
champagne
cherry liqueur
cherry vodka
cinnamon
citrus vodka
club soda
coconut cream
coconut rum
coffee liqueur
cognac
cointreau
cola
cranberry juice
cream
creme de cacao
creme de cassis
creme de mure
creme de violette
cucumber
dark rum
dry vermouth
egg white
elderflower liqueur
espresso
fernet branca
gin
ginger ale
ginger beer
grapefruit juice
grenadine
hazelnut liqueur
honey
honey syrup
hot sauce
irish cream liqueur
lemon juice
lemon peel
light rum
lillet blonde
lime juice
lime wedge
maple syrup
maraschino cherry
maraschino luxardo
mezcal
mint leaf
nutmeg
orange bitters
orange juice
orange liqueur
orange mad dog 20/20
orange peel
peach bitters
peach schnapps
peanut butter whiskey
pineapple juice
prosecco
raspberry liqueur
raspberry syrup
reposado tequila
rumchata
rye whiskey
salt
sambuca
scotch
simple syrup
soda water
sugar
sweet vermouth
tonic water
vanilla vodka
vodka
worcestershire sauce
